"","dataset","tsid","longitude","latitude","ipccReg","Category","CategorySpec","recordRange","recordRes","recordResPlus","season","climInterp","source","direction","ka_0.5","ka_6","maxValAge","minValAge"
"52","BJ8_03_10GGC.Linsley.2010","T2L_BJ8_03_10GGC_d18o_ruber_SST_from_d18o_ruber",115.25,-7.3667,"SEA","isotope","isotope",11556,194,194,"annual","T","Temp12k","positive",30.353,30.213,6765,11638
"53","BJ8_03_13GGC.Linsley.2010","T2L_BJ8_03_13GGC_mgca_ruber_SST_from_mgca_ruber",115.2,-7.4,"SEA","Mg/Ca","Mg/Ca",10414,42,42,"annual","T","Temp12k","positive",29.243,29.812,6592,415
"54","BJ8_03_13GGC.Linsley.2010","T2L_BJ8_03_13GGC_d18o_ruber_SST_from_d18o_ruber",115.2,-7.4,"SEA","isotope","isotope",10446,39.5,42,"annual","T","Temp12k","positive",30.528,30.589,129,9812
"55","BJ8_03_70GGC.Linsley.2010","T2L_BJ8_03_70GGC_mgca_ruber_SST_from_mgca_ruber",119.3833,-3.5667,"SEA","Mg/Ca","Mg/Ca",11749,101,101,"annual","T","Temp12k","positive",30.213,31.184,6383,288
"56","BJ8_03_70GGC.Linsley.2010","T2L_BJ8_03_70GGC_d18o_ruber_SST_from_d18o_ruber",119.3833,-3.5667,"SEA","isotope","isotope",11749,111,106,"annual","T","Temp12k","positive",29.962,30.562,1101,11856
"57","Bjornfjell.Brooks.2006","RcHJOeUBfxw",18.07,68.43,"NEU","chironomid","chironomid",3437.31,164.81,167.84,"summerOnly","T","Temp12k","positive",10.36,NA,3544.62,324.12
"58","BledowoLake.Binka.1988","R2yzkU2ca31",20.67,52.55,"WCE","pollen","pollen",10839.52,40.77,41.8249999999998,"annual","T","Temp12k","positive",6.546,6.625,4550.71,10735.14
"59","BloodPond.Marsicek.2013","WEBf9c0d6bd",-71.96,42.08,"ENA","pollen","pollen",11921.2342,90.6680000000001,90.6679999999997,"annual","T","Temp12k","positive",1.683,2.703,7553.324,11926.0396
"60","BN7Lake.Gajewski.1991","M2L3m70t46oP",-73.52,55.01,"NEN","pollen","pollen",6389,321,321,"annual","T","Temp12k","positive",-5.242,-5.661,348,4329
"61","BoehnigseeGoldmoos.Markgraf.1969","R4NdhyHXypE",7.84,46.26,"WCE","pollen","pollen",10727.86,151.255,153.48,"annual","T","Temp12k","positive",3.021,3.288,10412.37,9147.67
"62","BolshieToroki.Zhilich.2017","RST39AsmE0I",80.62,55.39,"WSB","pollen","pollen",7864.5,101.6,101.6,"summerOnly","T","Temp12k","positive",17.326,17.753,6877.1,7790.8
"63","Boone.White.1986","M2Lxytve3doP",-119.43,55.58,"NWN","pollen","pollen",10085,85,85,"annual","T","Temp12k","positive",2.088,3.133,4862,9100
"64","BorderBeacon.Lamb.1985","M2Lmp6pxlgjP",-63.2,55.33,"NEN","pollen","pollen",7687.7,311.5,311,"annual","T","Temp12k","positive",-0.623,-1.891,513,3861
"65","BoundaryPond.Mott.1977","M2L4wwg6oi5P",-70.68,45.57,"ENA","pollen","pollen",10835.2,226.5,226.5,"annual","T","Temp12k","positive",3.719,4.845,7179.8,60
"66","BrayaSo.vonGunten.2012","WEB0c142d5f",-51.0333,66.9875,"GIC","biophysical","biophysical",6947,10,10,"summerOnly","T","Temp12k","positive",6.011,5.737,3170,6823
"67","Breitnau-Neuhof.Roesch.2009","RQHbe4cH6UU",8.07,47.93,"WCE","pollen","pollen",10559.58,132.29,142.15,"annual","T","Temp12k","positive",6.963,9.768,7007.83,10758.39
"68","brurskardstjorni.Velle.2005","PYTIRA0OPDR",8.67,61.42,"NEU","chironomid","chironomid",10797.949,172.624,172.624,"summerOnly","T","Temp12k","positive",8.767,10.704,6489.571,247.675
"69","BS79_38.Cacho.2001","GH07da367f_SST_from_Uk37",13.6,38.4,"MED","alkenone","alkenone",10908,259,259.5,"annual","T","Temp12k","positive",16.141,15.345,8472,11558
"70","BuntesMoor.Weirich.1980","RLrZViFiuLZ",11.14,47,"WCE","pollen","pollen",6190.69,75.6899999999996,78.895,"annual","T","Temp12k","positive",2.756,4.931,1006.08,2064.05
"71","Cadagno.Niemann.2012","LPDdb9440cb",8.7139,46.5507,"WCE","other biomarker","other biomarker",10913,146,148.5,"annual","T","Temp12k","positive",-0.027,-0.11,1429,3713.5
"72","Camp11.Brubaker.1975","M2L215porczP",-88.02,46.67,"ENA","pollen","pollen",10475,321,353.5,"annual","T","Temp12k","positive",4.12,5.306,6289,10051
"73","CandelabraLake.Cwynar.1995","RAll4J7F1rY",-130.65,61.68,"NWN","pollen","pollen",10800,191,170.5,"annual","T","Temp12k","positive",-0.872,-0.061,10342,1721
"74","CangoCave.Talma.1992","RrLXMslDM70",22.214,-33.3926,"WSAF","isotope","isotope",6395.8,57.3999999999996,58,"annual","T","Temp12k","positive",17.104,16.787,2286.9,5175.5
"75","CapeGhir.Kim.2007","GH14bc173e",-10.2685,30.85,"NAO","alkenone","alkenone",10502,29,31,"annual","T","Temp12k","positive",19.125,20.062,9288,478.3
"76","Caribou-Qubec.Jett.1992","M2L4201jbr2P",-64.94,48.2,"ENA","pollen","pollen",10420,349,540,"annual","T","Temp12k","positive",-3.337,-3.764,9660,3363.66666666667
"77","CaribouHill.Lamb.1985","M2Lmxwfo4uxP",-63.25,55.67,"NEN","pollen","pollen",6825,237.5,249,"annual","T","Temp12k","positive",-0.103,-0.895,2782,1886
"78","CarletonLake.Upiter.2014","RclKPHfeaEb",-110.1008,64.2572,"NWN","chironomid","chironomid",5925,100.400000000001,100.4,"summerOnly","T","Temp12k","positive",-0.065,0.458,737.8,1477.1
"79","Carp.Whitlock.1985","M2Lyvstpj8pP",-120.88,45.92,"WNA","pollen","pollen",10008.7,270.6,270.6,"annual","T","Temp12k","positive",3.78,5.906,9796.2,0
"80","CascadeFen.Maher.1963","M2Lvhsqfd0bP",-107.81,37.65,"WNA","pollen","pollen",6481.8,68.5,68.5,"annual","T","Temp12k","positive",1.749,0.866,1576,6230.5
"81","Castor.Larouche.NA","M2Lb1ru7x97P",-73,46.61,"ENA","pollen","pollen",10764,217,219,"annual","T","Temp12k","positive",3.941,5.268,10739,10084
"82","CC04.Gibb.2015","RxPYP3y92HP",-58.0365,61.4639,"NEN","other microfossil","other microfossil",11895.918,93.1000000000004,93.1000000000004,"annual","T","Temp12k","positive",2.371,2.235,8327,11914.8
"83","Century.Johnsen.1972","PYT295BX2KQ",-61.13,77.17,"GIC","isotope","isotope",6940,20,20,"annual","T","Temp12k","positive",-29.31,-28.527,5990,270
"84","CF8.Axford.2011","RdV4LGpfddw",-68.9519,70.5569,"NEN","chironomid","chironomid",7038.637,107.686500000001,104.690000000001,"summerOnly","T","Temp12k","positive",NA,-1.883,9332.743,11306.361
"85","CH2.Garralla.1992","M2Lkgti4u2yP",-74.58,49.68,"ENA","pollen","pollen",8331,85,85,"annual","T","Temp12k","positive",-3.934,-4.161,4345,2670
"86","ChallaLake.Damst.2012","RVIIY9tLqwu",37.7,-3.3167,"SEAF","other biomarker","other biomarker",11874,56,56,"annual","T","Temp12k","positive",20.493,21.457,8895,11822
"87","Chaohu.Li.2018","Rf9ndgRNF2y",117.39,31.56,"EAS","pollen","pollen",10383,137,137,"annual","T","Temp12k","positive",12.739,14.635,9397,355
"88","Chuna.Jones.2005","PYTNKAW5ZDO",32.48,67.95,"NEU","pollen","pollen",8818.77,216.4615,216.461,"summerOnly","T","Temp12k","positive",12.473,13.156,4406,0
"89","Churruca.Caniupan.2014","WEB7c7a30a0",-73.9,-53.03,"SSA","alkenone","alkenone",11400,200,200,"summerOnly","T","Temp12k","positive",9.284,10.926,7500,760
"90","Clapeyret.deBeaulieu.1977","Rq20hfvJwc3",7.24,44.15,"MED","pollen","pollen",9785.21,176.17,193.77,"annual","T","Temp12k","positive",4.351,7.115,8965.51,1011.78
"91","ClarksJunction.Wilmshurst.2007","RM0SQ5BKOUx",170.12,-45.72,"NZ","pollen","pollen",10042.173,421.46,421.46,"annual","T","Temp12k","positive",7.252,7.559,9046.46,1787.64
"92","ClearLakeIA.Baker.1992","M2L8muhrctrP",-93.43,43.13,"CNA","pollen","pollen",10577,221,216,"annual","T","Temp12k","positive",6.855,5.001,10600,5435
"93","ClearLakeIN.Bailey.1972","M2La3lgwa79P",-86.54,41.64,"ENA","pollen","pollen",10778.2,253.1,337.4,"annual","T","Temp12k","positive",9.254,9.149,2449,10800
"94","ClearPond.Hussey.1993","M2Lbtzi9joeP",-78.95,33.8,"ENA","pollen","pollen",10811,160,160,"annual","T","Temp12k","positive",18.621,19.233,6098.66666666667,10912
"95","CN01.Cheung.2017","WEBfc1570c4",91.1778,30.5619,"TIB","other biomarker","other biomarker",9678,146,144.5,"annual","T","Temp12k","positive",3.508,6.348,6288,2610
"96","Coghill.King.1986","M2L511e6mjbP",-66.77,53.9,"NEN","pollen","pollen",5760,267,282.5,"annual","T","Temp12k","positive",-5.369,-3.737,6146,2443
"97","Compass.Macpherson.1986","M2Lfqrx9sloP",-56.2,50.03,"NEN","pollen","pollen",10790,181,187,"annual","T","Temp12k","positive",-5.094,-4.114,1877,922.333333333333
"98","Copley.Fall.1997","M2L4attyxxdP",-107.08,38.87,"WNA","pollen","pollen",10476,216,212,"annual","T","Temp12k","positive",-0.134,-0.167,7371,234
"99","CoppermineSaddleback.Nichols.1975","M2Lo0iw64l3P",-115.32,67.83,"NWN","pollen","pollen",4104.4,53.6,71.5,"annual","T","Temp12k","positive",-11.189,NA,2171.3,726.2
"100","Corser.Nichols.2014","PYTUQPUNFJT",-145.45,60.53,"NWN","other biomarker","other biomarker",11013,213,213,"annual","T","Temp12k","positive",5.839,4.601,8941,1359
"101","CottonwoodLake.Grimm.1987","M2Lwg7wsrd5P",-99.91,44.84,"CNA","pollen","pollen",10948,254.5,272,"annual","T","Temp12k","positive",5.613,7.728,5469,10901.5
"102","CottonwoodPassPond.Fall.1997","M2L8nwh67cmP",-106.41,38.83,"WNA","pollen","pollen",9193,262,277,"annual","T","Temp12k","positive",-0.139,1.126,2824,617
"103","Cranberry.McAndrews.NA","M2Loy7jz53zP",-78.1,44.1,"ENA","pollen","pollen",10894,108,115,"annual","T","Temp12k","positive",6.339,6.183,578,10732
"104","D13882.Tierney","T2L_D13882_uk37_SST_from_uk37",-9.4542,38.6345,"MED","alkenone","alkenone",11554,22,22,"annual","T","Temp12k","positive",15.399,17.664,6806,11728
"105","DajiuhuPeatland.Huang.2013","WEBddd2abef",110,31.4667,"EAS","other biomarker","other biomarker",11751.66,73.3299999999999,73.3299999999999,"annual","T","Temp12k","positive",1.676,4.415,10448.52,769.97
"106","Dalene.Seppa.2009","PYTPSOT4O3M",8,58.25,"NEU","pollen","pollen",8902.94,177.96,175.54,"summerOnly","T","Temp12k","positive",14.629,15.734,1860.54,261.75
"107","Dalmutladdo.Bjune.2004","RJ46xwfMboE",20.72,69.17,"NEU","pollen","pollen",9924,148,148,"annual","T","Temp12k","positive",-0.001,0.749,6383,9924
"108","DANA12_11_2_GC01.VanNieuwenhove.2018","RLVhTGXvCnW",-20.7027,61.6089,"NAO","other microfossil","other microfossil",11785,136,136,"annual","T","Temp12k","positive",9.16,8.661,10390,11219
"109","DarzlubieForest.Polska-JasiewiczOwa.1996","REW23yVFq2c",18.17,54.7,"WCE","pollen","pollen",10815.13,112.039999999999,111.435,"annual","T","Temp12k","positive",6.683,8.868,3044.56,10725.1
"110","DavisLake.Barnosky.1981","M2Lqsgb2az4P",-73.41,42.14,"ENA","pollen","pollen",10704.1,0,298.1,"annual","T","Temp12k","positive",7.902,6.667,295,1668.4
"111","Decoy.Szeicz.1991","M2Lhd1b9ejrP",-80.37,43.23,"ENA","pollen","pollen",10903,102,102,"annual","T","Temp12k","positive",7.794,7.399,2855,8889
"112","Delorme1.Bouchard.1982","M2LfdkrvgyhP",-69.92,54.42,"NEN","pollen","pollen",5645,361,361.5,"annual","T","Temp12k","positive",-5.315,-8.075,4087,5836
"113","Delorme2.Bouchard.1982","M2LqxikmeduP",-69.93,54.42,"NEN","pollen","pollen",6677,148,148,"annual","T","Temp12k","positive",-5.277,-6.563,7100,6220
"114","Deltasoe.Axford.2019","RvZFkpE8BK4",-67.61,76.7595,"GIC","chironomid","chironomid",10580.888,311.11,342.21,"summerOnly","T","Temp12k","positive",-0.212,1.73,9193.19,470.772
"115","Demont.Kapp.NA","M2Lvlvf54mwP",-85,43.48,"ENA","pollen","pollen",10779,222.5,222,"annual","T","Temp12k","positive",6.761,8.71,5556,9844
"116","DempsterPeatland.Porter.2019","WEBfb6b61e3",-138.32,65.21,"NWN","isotope","isotope",11385,195,217.5,"summerOnly","T","Temp12k","positive",-0.125,-0.32,10370,11400
"117","Devils.Shuman.2016","M2Lmcalxjr0P",-89.73,43.42,"ENA","pollen","pollen",10865,111.8,111.8,"annual","T","Temp12k","positive",7.342,7.651,3354.8,10742
"118","DevonIceCap.Paterson.1977","PYT8NX1Q5ZA",-82.5,75.3167,"NEN","isotope","isotope",11950,50,50,"annual","T","Temp12k","positive",-27.945,-26.072,5039,11964
"119","DevonIslandGlacier.McAndrews.1984","M2Lp7ovi4zuP",-82.5,75.35,"NEN","pollen","pollen",8682,43,42,"annual","T","Temp12k","positive",-3.253,-4.133,289,852
"120","DolgoeLake.Wolfe.2000","PYTQGF9UT2H",127.07,71.87,"RAR","pollen","pollen",11918.2,216.95,217.825,"summerOnly","T","Temp12k","positive",15.224,17.215,5490.3,11396.5
"121","DomeF.Uemura.2018","Rdf2KmRVOb2",39.67,-77.3167,"EAN","isotope","isotope",11916,70,70,"annual","T","Temp12k","positive",-0.354,-0.3,2853,261
"122","Donvold.Nilssen.1983","RFnXAgxg0hG",13.58,68.13,"NEU","pollen","pollen",9451.67,155.82,153.355,"annual","T","Temp12k","positive",7.319,1.195,286.63,7972.37
"123","Duck.Winkler.1985","M2Lhauzlyt3P",-70,41.93,"ENA","pollen","pollen",10831,337,337,"annual","T","Temp12k","positive",6.923,6.783,6987,10339
"124","Dura-Moor.Seiwald.1980","RmWAcZM7Ri5",11.46,46.64,"WCE","pollen","pollen",10854.36,107.305,106.59,"annual","T","Temp12k","positive",2.49,5.122,10377.46,740.39
"125","Duranunlak.EPD","RXKfG1yd0lA",28.55,43.67,"MED","pollen","pollen",10129.55,200.64,200.64,"annual","T","Temp12k","positive",15.233,10.479,484.65,1804.13
"126","DYE3.Dahl-Jensen.1998","WEB1bc4c057",-43.8248,65.1857,"GIC","other ice","other ice",11817,160,148,"annual","T","Temp12k","positive",-20.222,-18.69,4025,11825
"127","Dye3.Vinther.2006","PYTAUVXNNEA",-43.82,65.1833,"GIC","isotope","isotope",11640,20,20,"annual","T","Temp12k","positive",-27.858,-27.693,3460,11360
"128","EagleTarn.Rees.2010","R3Ypu5QP5eP",146.5914,-42.6799,"SAU","chironomid","chironomid",11724.8,156.972,149.045,"summerOnly","T","Temp12k","positive",8.679,NA,4649.57,8653.194
"129","EC1.Gajewski.1993","M2L1fcqp9rpP",-75.1,56.28,"NEN","pollen","pollen",6552,166,163.5,"annual","T","Temp12k","positive",-5.211,-5.319,4788,6610
"130","EC2.Gajewski.1991","M2L5adu400zP",-74.95,56.02,"NEN","pollen","pollen",6300,134,134,"annual","T","Temp12k","positive",-5.434,-5.524,4738,5903
"131","EDML.Stenni.2010","WEBef5799bb",0.0683,-75.0025,"EAN","isotope","isotope",10802,9,9,"annual","T","Temp12k","positive",NA,0.344,9074,11561
"132","Egelsee.Larocque.2010","RHkrEHLrEmG",8.58,47.18,"WCE","chironomid","chironomid",10347.857,197.445,190.063,"summerOnly","T","Temp12k","positive",NA,15.332,5974.2,2930.479
"133","ELake.Ritchie.1976","M2L4110p1qwP",-99.66,50.69,"NEN","pollen","pollen",10487,218.5,274,"annual","T","Temp12k","positive",1.031,2.536,4847,197
"134","Eldora.Maher.1969","M2Lm8jxg50yP",-105.58,39.94,"WNA","pollen","pollen",8630.9,175.4,184.65,"annual","T","Temp12k","positive",1.236,2.334,5916.8,4280.3
"135","Eleanor.Gavin.2011","WEB9a26a54b",-124.02,47.68,"WNA","biophysical","biophysical",10874,18.9000000000001,18.8000000000001,"summerOnly","T","Temp12k","positive",18.24,32.055,8483.7,10719.2
"136","Elfstadalsvatn.Langdon.2008","Rc9cuWIUbO5",-22.4064,65.5612,"GIC","chironomid","chironomid",6605.768,327.799999999999,327.8,"summerOnly","T","Temp12k","positive",NA,9.435,4234.52,10840.288
"137","ElGygytgynCrater.Schwamborn.2006","WEB65af657c",172.219,67.441,"RAR","isotope","isotope",8540,181,181,"annual","T","Temp12k","positive",NA,-18.742,8398,11816
"138","EN32_PC6.Flower.2004","T2L_EN32_PC6_mgca_ruber_SST_from_mgca_ruber",-91.35,26.946,"CNA","Mg/Ca","Mg/Ca",3520,300,300,"annual","T","Temp12k","positive",NA,NA,10070,11550
"139","EN32_PC6.Flower.2004","T2L_EN32_PC6_d18o_ruber_SST_from_d18o_ruber",-91.35,26.946,"CNA","isotope","isotope",3520,290,290,"annual","T","Temp12k","positive",NA,NA,9090,11850
"140","Ennadai-1.Nichols.1967","M2Lzhv3nfyiP",-100.9167,61.1667,"NEN","pollen","pollen",6028.2,207,207,"annual","T","Temp12k","positive",4.953,3.037,600,2350
"141","Ennadai-2.Nichols.1975","M2L846r0l61P",-100.95,61.24,"NEN","pollen","pollen",4756.2,31,31,"annual","T","Temp12k","positive",-0.111,NA,2775.3,3477.6
"142","EPICADomeC.Stenni.2010","WEBd30870fb",123.3953,-75.1019,"EAN","isotope","isotope",11955.0198054,18.8657199999998,18.8649899999996,"annual","T","Temp12k","positive",-0.009,0.01,55.0562363,11926.5986
