,Category,CategorySpecific,ageMin,ageMax,ageRange,ageRes,TSid,Lat,Lon,Name,Archive,Proxy,Unit,Interp,Season,Direction,bin0ka,bin1ka,bin2ka,bin3ka,bin4ka,bin5ka,bin6ka,bin7ka,bin8ka,bin9ka,bin10ka,bin11ka,TotalDirection,TotalSlope,TotalSlopeSig,EarlyDirection,EarlySlope,EarlySlopeSig,LateDirection,LateSlope,LateSlopeSig
20,Other,Other (uncalibrated),10.0,3874.0,3864.0,241.5,R4EA7xKol5Q,68.2033,92.1789,PTHE.Self.2015,LakeSediment,chironomid,degC,T,Summer,positive,0.0,0.039749999999997954,0.09358333333333135,1.3709999999999987,,,,,,,,,,,,,,,decreasing,-0.31600790067852197,-0.31600790067852197
21,Pollen,Pollen (uncalibrated),0.0,8997.0,8997.0,145.11290322580646,PYTRUXBRWZ0,68.8,35.32,KP2.Seppa.2009,LakeSediment,pollen,degC,T,7,positive,0.0,0.017000000000001236,0.005857142857145448,0.24657142857143022,0.2530000000000019,0.3195714285714306,0.3543333333333347,0.712666666666669,-0.01366666666666383,,,,decreasing,-0.034519005207942904,-0.034519005207942904,,,,decreasing,-0.07357903437064096,-0.07357903437064096
22,Other,Other (uncalibrated),78.0,3476.0,3398.0,212.375,RznCZXhHXPN,68.165,92.1731,GYXO.Self.2015,LakeSediment,chironomid,degC,T,Summer,positive,0.0,-1.2623333333333342,-0.7866,0.24740000000000073,,,,,,,,,,,,,,,no trend,-0.14892384908548054,0.0
24,Pollen,Pollen (uncalibrated),368.48,10498.03,10129.550000000001,297.9279411764706,RXKfG1yd0lA,43.67,28.55,Duranunlak.EPD,LakeSediment,pollen,degC,T,annual,positive,0.0,-3.3400595226666656,-3.006207482809522,-2.6952380944166645,-2.1736904749999972,-3.1213095209166646,-3.6809523796666657,-3.3509523799166647,-1.2648809511666652,-3.1341666641666652,-1.5520238071666643,,increasing,0.1298732024935523,0.1298732024935523,no trend,-0.5010539328332378,0.0,increasing,0.5024760878899889,0.5024760878899889
28,Pollen,Pollen (uncalibrated),1.0,10856.0,10855.0,278.3333333333333,M2Lgupr25mjP,44.05,-87.73,Gass.Webb.1983,LakeSediment,pollen,degC,T,annual,positive,0.0,-0.17749999999999932,-0.9739999999999993,0.23866666666666703,0.7702000000000018,1.1369999999999996,0.737000000000001,1.2375000000000016,0.19700000000000095,-0.5576666666666652,-1.149333333333331,,no trend,0.007894805435688075,0.0,increasing,0.6279121919341752,0.6279121919341752,decreasing,-0.24870939113913504,-0.24870939113913504
31,Pollen,Pollen (uncalibrated),13.0,10792.0,10779.0,195.98181818181817,M2Lvlvf54mwP,43.48,-85.0,Demont.Kapp.NA,LakeSediment,pollen,degC,T,annual,positive,0.0,0.6708839285714294,0.4618125000000006,1.0848125,1.5873124999999995,1.8370625,1.832062500000001,1.3790624999999999,-0.25935416666666544,-0.8600208333333335,-0.9271874999999996,,no trend,-0.013763234078069373,0.0,increasing,0.7891338991910918,0.7891338991910918,decreasing,-0.3440183148051022,-0.3440183148051022
32,Pollen,Pollen (uncalibrated),500.0,12000.0,11500.0,99.13793103448276,RRY0jogRrD7,-29.0011,19.135,Pella.Lim.2016,Midden,pollen,degC,T,annual,positive,0.0,-0.11414861723508807,-0.44953595715170636,-0.59812758556847,-0.5752356364993148,-0.8608777766789935,-0.6026153621547081,-0.32732192534662374,-0.15485690610736924,-0.16378507825331923,-0.2924306592940269,-0.45155382307073566,no trend,-0.0021180633009861313,0.0,no trend,-0.026973332124211654,0.0,increasing,0.1696685501688822,0.1696685501688822
33,Other,Other (uncalibrated),442.0,11996.0,11554.0,46.58870967741935,T2L_D13882_uk37_SST_from_uk37,38.6345,-9.4542,D13882.Tierney,MarineSediment,alkenone,degC,T,annual,positive,0.0,0.6834709044601226,1.1908400961800218,1.768076526317632,1.9496190396851105,2.0254439782761047,2.4801308335702963,2.526929131351256,2.4614947803015,3.0137377531339418,2.56507214731597,-3.4795547652077463,increasing,0.3855086945912475,0.3855086945912475,increasing,1.651782039810284,1.651782039810284,decreasing,-0.4597646797887501,-0.4597646797887501
35,Pollen,Pollen (uncalibrated),376.23,10274.68,9898.45,64.69575163398693,RCdkGYUfpeV,48.43,8.25,Glaswaldsee.EPD,LakeSediment,pollen,degC,T,annual,positive,0.0,-0.833741352623159,-1.0672896515726826,-1.0373350038742686,-0.5095283648086149,1.0531203017631565,2.386539004393091,2.5131015045582696,1.9216967422701732,1.6327443615701753,-1.4101127797631579,,decreasing,-0.41164812972954773,-0.41164812972954773,increasing,0.3415870508545168,0.3415870508545168,no trend,-0.2649544980020784,0.0
39,Pollen,Pollen (uncalibrated),1.0,10880.0,10879.0,78.26618705035972,M2L7p5fn09cP,46.86,-98.16,Moon.Grimm.1996,LakeSediment,pollen,degC,T,annual,positive,0.0,0.013616216216216337,-0.015617117117116663,0.19554954954954962,-0.01758378378378378,0.05957985257985232,0.13363288288288366,0.5104162162162167,0.031660660660660866,-0.09161711711711717,-0.008926640926640417,,no trend,-0.0238154426572549,0.0,increasing,0.11203838542396999,0.11203838542396999,no trend,-0.0027577447896109143,0.0
43,Pollen,Pollen (uncalibrated),0.0,10599.0,10599.0,365.48275862068965,M2L6aaquiz9P,42.73,-109.19,Rapid.Fall.1994,LakeSediment,pollen,degC,T,annual,positive,0.0,0.3035000000000001,-0.011166666666666658,-0.3068333333333334,-1.2865,-1.21,-1.2158333333333333,-1.0841666666666667,-1.4751666666666667,-0.9715,0.16999999999999993,,no trend,0.11632303456801402,0.0,no trend,-0.2520643991927897,0.0,increasing,0.3318009382770643,0.3318009382770643
46,Pollen,Pollen (uncalibrated),80.1,10883.8,10803.699999999999,240.08222222222219,M2Lvbzbn35sP,41.42,-84.75,Ladd.Shane.1993,LakeSediment,pollen,degC,T,annual,positive,0.0,-0.0237999999999996,-0.08729999999999905,0.8005333333333322,0.03795000000000037,0.2643111111111125,-0.15280000000000094,-0.19546666666666646,-0.297133333333333,-0.30379999999999896,-1.660800000000001,,increasing,0.1060823472873872,0.1060823472873872,increasing,0.32500557335146674,0.32500557335146674,no trend,-0.056595677839301764,0.0
47,Other,Other (uncalibrated),4425.349,11463.986,7038.637000000001,163.68923255813954,RdV4LGpfddw,70.5569,-68.9519,CF8.Axford.2011,LakeSediment,chironomid,degC,T,summerOnly,positive,,,,,,,,,,,,,no trend,-0.15612510315636208,0.0,no trend,0.3343295395046212,0.0,,,
48,Other,Other (uncalibrated),0.0,11960.0,11960.0,145.85365853658536,WEB1fa182ff,42.2167,126.517,Hani.Zheng.2017,Peat,GDGT,degC,T,annual,positive,0.0,1.1552500000000006,3.8032916666666683,3.9461249999999986,4.296625000000001,4.574125,6.249958333333334,5.795958333333335,3.804482142857143,4.546458333333334,1.2228249999999994,2.9048750000000005,decreasing,-0.1302070196140192,-0.1302070196140192,increasing,0.9288372258399366,0.9288372258399366,decreasing,-0.9319401433298576,-0.9319401433298576
49,Other,Other (uncalibrated),78.1,11984.26,11906.16,87.54529411764706,T2L_PC_1_d18o_ruber_SST_from_d18o_ruber,31.4583,128.4133,PC_1.Chang.2015,MarineSediment,d18O,degC,T,annual,positive,0.0,-0.7176418971828511,0.33736390374001246,-0.05983441515075327,-0.7964112333808231,-0.2561095260166688,-0.8909545756686512,0.4228648123295642,0.3764902054753527,-1.6062008250784956,-2.552701072020259,-5.027317799237331,increasing,0.3237500382890935,0.3237500382890935,increasing,1.0233915179225648,1.0233915179225648,no trend,0.061687456291338774,0.0
50,Other,Other (uncalibrated),116.0,11755.0,11639.0,215.53703703703704,WEB7e132cbf,32.75,81.67,AwengCo.Li.2017,LakeSediment,GDGT,degC,T,annual,positive,0.0,-1.4783333333333335,-2.8483333333333336,-6.033333333333333,-9.041666666666668,-7.608333333333334,-3.4750000000000005,-1.6750000000000003,-2.241666666666667,0.6416666666666666,-0.6750000000000003,-1.8416666666666672,increasing,0.09695283014345218,0.09695283014345218,no trend,-0.40508593473298193,0.0,increasing,1.83663368550523,1.83663368550523
53,Pollen,Pollen (uncalibrated),0.0,10566.0,10566.0,57.11351351351351,M2Lh5wgkh8bP,44.52,-76.6,High.Fuller.1997,LakeSediment,pollen,degC,T,annual,positive,0.0,0.16773611111111109,0.003861111111111093,0.09054861111111112,0.07191756272401495,-0.15260763888888906,-0.09433333333333316,0.2853611111111105,-0.05743888888888904,-0.21938888888888908,-0.8385555555555557,,increasing,0.027796177066235817,0.027796177066235817,increasing,0.11223925303885673,0.11223925303885673,increasing,0.0390832627508162,0.0390832627508162
56,Pollen,Pollen (uncalibrated),875.7,9366.6,8490.9,339.63599999999997,M2Liaj596e6P,37.94,-111.7,Posy.Shafer.1989,LakeSediment,pollen,degC,T,annual,positive,0.0,-1.2939999999999996,1.2389999999999999,-1.7659999999999996,0.23899999999999988,-0.9957999999999996,-0.2869999999999999,-0.5609999999999995,-1.002333333333333,-1.0334999999999996,,,no trend,0.08034023973475568,0.0,,,,no trend,0.12197059227924975,0.0
59,Pollen,Pollen (uncalibrated),54.0,11964.0,11910.0,208.94736842105263,R9f2mFSr7nU,59.2026,-135.3953,Lily.Cwynar.1990,LakeSediment,pollen,degC,T,annual,positive,0.0,0.9584999999999999,1.7698333333333336,1.8877499999999996,0.9695,1.5670000000000002,1.7698333333333336,-1.205166666666667,-6.828277777777778,-8.5713,-8.454269230769231,2.5385,increasing,0.8682625971033563,0.8682625971033563,increasing,0.6375838240242349,0.6375838240242349,no trend,-0.22285846839760837,0.0
62,Pollen,Pollen (uncalibrated),97.0,6805.0,6708.0,248.44444444444446,M2Luuo6xgosP,52.93,-66.95,Harrie.King.1986,LakeSediment,pollen,degC,T,annual,positive,0.0,0.3815000000000004,1.7000000000000002,1.6255000000000006,2.4887500000000005,1.8168571428571427,-0.9115000000000002,,,,,,no trend,-0.028622102310817164,0.0,,,,no trend,-0.3541779994192893,0.0
63,Pollen,Pollen (uncalibrated),2271.0,9006.0,6735.0,132.05882352941177,R47g8nheBej,30.96,120.64,Pingwang.Li.2018,Peat,pollen,degC,T,annual,positive,,,,,,,,,,,,,decreasing,-0.2741108713897609,-0.2741108713897609,,,,no trend,-0.25596860859257603,0.0
64,Other,Other (uncalibrated),62.788,10001.922,9939.134,41.07080165289256,LPD05340dbbdp_SST_from_d18O,34.2875,-120.036,893A.Kennet.2007,MarineSediment,d18O,degC,T,annual,positive,0.0,-0.9653903743315517,-0.025491477272726826,1.1834772727272718,0.07389393939393685,-0.11057272727272505,0.30572727272727107,0.7220349650349647,0.40177990430622046,0.4197535885167447,0.9057272727272725,,decreasing,-0.08754122945731152,-0.08754122945731152,no trend,-0.019932353290946347,0.0,decreasing,-0.1849538603230481,-0.1849538603230481
65,Other,Other (uncalibrated),8.97,10001.922,9992.952000000001,42.5232,LPD28794972dp_SST_from_d18O2,34.2875,-120.036,893A.Kennet.2007,MarineSediment,d18O,degC,T,annual,positive,0.0,-0.007120265151515426,0.39928931451613003,0.6309062499999989,1.752642361111107,0.9346312500000025,0.96521875,1.364569711538465,0.7281891447368416,1.4173733552631553,2.2130312500000002,,decreasing,-0.14477484613132033,-0.14477484613132033,decreasing,-0.14315850126973603,-0.14315850126973603,decreasing,-0.28423136104424684,-0.28423136104424684
66,Pollen,Pollen (uncalibrated),0.0,8818.77,8818.77,238.34513513513514,PYTNKAW5ZDO,67.95,32.48,Chuna.Jones.2005,LakeSediment,pollen,degC,T,summerOnly,positive,0.0,0.015833333333333144,0.26333333333333364,-0.40066666666666606,0.8431666666666668,0.7818333333333349,0.6798333333333346,0.6314333333333337,0.7498333333333331,,,,decreasing,-0.10866484736897983,-0.10866484736897983,,,,decreasing,-0.17833463136015323,-0.17833463136015323
67,Pollen,Pollen (uncalibrated),13.5,6956.0,6942.5,136.12745098039215,PYT6CZBVE1E,69.9,-95.07,JR01.Fortin.2017,LakeSediment,pollen,degC,T,7,positive,0.0,0.9759999999999991,0.9459999999999997,1.1223636363636356,0.859333333333332,0.7815555555555527,0.45599999999999863,,,,,,no trend,-0.09327975869789171,0.0,,,,no trend,-0.1447792924443344,0.0
70,Pollen,Pollen (uncalibrated),234.0,10710.0,10476.0,283.13513513513516,M2L4attyxxdP,38.87,-107.08,Copley.Fall.1997,LakeSediment,pollen,degC,T,annual,positive,0.0,0.7074666666666667,0.5413,0.4728,0.0948,-0.15170000000000003,0.6,0.7185142857142858,0.6765500000000001,0.25780000000000003,-0.14953333333333338,,no trend,-0.013132912590914177,0.0,increasing,0.17385524830290253,0.17385524830290253,no trend,0.026566242072658754,0.0
71,Pollen,Pollen (uncalibrated),0.0,10012.5,10012.5,286.07142857142856,PYTH254O9NJ,59.17,24.43,Ruila.Seppa.2004,LakeSediment,pollen,degC,T,annual,positive,0.0,0.4713333333333347,0.6923333333333348,1.0546000000000006,2.429500000000001,2.9659999999999993,3.012333333333334,1.3866666666666676,0.5115000000000007,-0.19333333333333247,-2.3009999999999993,,no trend,0.0018976423823054828,0.0,increasing,1.3211783850940637,1.3211783850940637,decreasing,-0.6119678284144374,-0.6119678284144374
72,Pollen,Pollen (uncalibrated),215.0,10887.0,10672.0,323.3939393939394,M2Ljua8y8v7P,41.82,-73.29,Mohawk.Webb.1986,LakeSediment,pollen,degC,T,warmest month,positive,0.0,-0.27600000000000335,0.18599999999999994,0.5858333333333334,1.0288333333333348,0.7750833333333311,-0.3616666666666646,-0.7950000000000017,-0.1423333333333332,0.20383333333333198,-0.8476666666666688,,no trend,0.06186334524426155,0.0,no trend,0.011192549725852955,0.0,decreasing,-0.2102661492917074,-0.2102661492917074
73,Pollen,Pollen (uncalibrated),215.0,10887.0,10672.0,323.3939393939394,M2Les9iz3udP,41.82,-73.29,Mohawk.Webb.1986,LakeSediment,pollen,degC,T,coldest month,positive,0.0,-0.11900000000000066,0.4283333333333337,0.9309999999999992,0.8239999999999998,1.0739999999999998,-0.3043333333333331,-1.033333333333334,-0.40500000000000114,-1.7082499999999996,-5.705,,increasing,0.3784897577765139,0.3784897577765139,increasing,1.2398410127198116,1.2398410127198116,decreasing,-0.24131802363532692,-0.24131802363532692
74,Pollen,Pollen (uncalibrated),215.0,10887.0,10672.0,323.3939393939394,M2Ln2l8gcheP,41.82,-73.29,Mohawk.Webb.1986,LakeSediment,pollen,degC,T,annual,positive,0.0,-0.20566666666666578,0.28300000000000125,0.7466666666666679,1.0566666666666666,0.9244166666666676,-0.3409999999999993,-0.8643333333333327,-0.24599999999999866,-0.5580833333333333,-2.8583333333333325,,increasing,0.1924863266027562,0.1924863266027562,no trend,0.5191727008487708,0.0,decreasing,-0.23255214930494708,-0.23255214930494708
77,Pollen,Pollen (uncalibrated),0.0,9803.0,9803.0,192.2156862745098,RSvtIc0N66Y,64.65,-128.08,Andy.Szeicz.1995,LakeSediment,pollen,degC,T,annual,positive,0.0,0.2579333333333329,1.5272666666666663,2.091933333333333,2.1097999999999995,1.7715999999999996,3.78585,2.6705999999999994,3.203433333333333,1.4050999999999996,,,decreasing,-0.26167420107449413,-0.26167420107449413,no trend,0.6840603517048414,0.0,decreasing,-0.4209444838555291,-0.4209444838555291
78,Other,Other (uncalibrated),0.0,11652.0,11652.0,129.46666666666667,LPDbfac52bb,36.8112,100.137,Qinghai.Hou.2016,LakeSediment,alkenone,degC,T,"6,7,8",positive,0.0,1.7607142857142826,2.2707142857142806,-1.4857142857142893,-0.8028571428571443,2.9557142857142793,5.907380952380947,4.529047619047617,3.058571428571426,2.4227142857142816,4.683714285714284,4.271714285714285,decreasing,-0.4024982778874765,-0.4024982778874765,no trend,0.18524211342625135,0.0,no trend,-0.05686498194428059,0.0
80,Pollen,Pollen (uncalibrated),19.0,10754.0,10735.0,153.35714285714286,M2Lqezod5l2P,48.6,-124.2,Pixie.Brown.2002,LakeSediment,pollen,degC,T,warmest month,positive,0.0,0.14774603174603484,-0.0011111111111112848,-0.06027777777777743,0.08738888888888852,-0.009396825396827069,-0.1705396825396832,-0.6481111111111098,-0.08444444444444699,0.5963888888888889,0.691288888888888,,no trend,-0.026018338282424024,0.0,decreasing,-0.3132348772872495,-0.3132348772872495,no trend,0.011186112586713563,0.0
81,Pollen,Pollen (uncalibrated),19.0,10754.0,10735.0,153.35714285714286,M2L2g5c3hl4P,48.6,-124.2,Pixie.Brown.2002,LakeSediment,pollen,degC,T,coldest month,positive,0.0,0.3955555555555556,0.3464126984126983,-0.12927777777777777,-0.007944444444444448,-0.4513015873015873,-0.4474444444444444,-0.8638730158730159,0.16822222222222227,1.1060555555555556,1.2267555555555556,,no trend,-0.04061262683881896,0.0,decreasing,-0.5923173747216295,-0.5923173747216295,no trend,0.13111165684913262,0.0
82,Pollen,Pollen (uncalibrated),19.0,10754.0,10735.0,153.35714285714286,M2Leha3eu5bP,48.6,-124.2,Pixie.Brown.2002,LakeSediment,pollen,degC,T,annual,positive,0.0,0.2698571428571439,0.13199999999999967,-0.12249999999999961,0.05216666666666736,-0.23600000000000065,-0.3261428571428562,-0.8015714285714282,0.018666666666667275,0.9541666666666675,1.072799999999999,,no trend,-0.04142759386053134,0.0,decreasing,-0.4941155401020578,-0.4941155401020578,no trend,0.07084615752730111,0.0
83,Other,Other (uncalibrated),0.0,10771.6197183098,10771.6197183098,156.11043070014202,R3mfDzogKdd,67.81,29.28,Sokli.Shala.2017,LakeSediment,chironomid,degC,T,Summer,positive,0.0,-0.44404999999999895,-0.6220499999999998,-0.727549999999999,-1.5477499999999988,-2.2044357142857134,-1.562549999999998,-2.531537499999999,-1.6726999999999972,-0.07178333333333242,0.12997999999999799,,decreasing,-0.15460867778503357,-0.15460867778503357,decreasing,-0.5619991618536987,-0.5619991618536987,increasing,0.4322828842356855,0.4322828842356855
84,Glacier Ice,Glacier Ice,1193.0,11995.0,10802.0,9.39304347826087,WEBef5799bb,-75.0025,0.0683,EDML.Stenni.2010,GlacierIce,deterium excess,degC,T,annual,positive,,,,,,,,,,,,,increasing,0.06523067755723758,0.06523067755723758,increasing,0.15434506574126367,0.15434506574126367,decreasing,-0.09498095966596456,-0.09498095966596456
86,Other,Other (uncalibrated),243.0,9921.0,9678.0,166.86206896551724,WEBfc1570c4,30.5619,91.1778,CN01.Cheung.2017,Peat,GDGT,degC,T,annual,positive,0.0,-3.7040488333333332,-4.002846277777778,-4.382605458333333,-4.034285833333334,-2.997936033333333,2.970213966666666,0.3716701666666662,-0.23282358333333297,-2.271703083333333,,,no trend,-0.3281314485602377,0.0,increasing,1.6412917656799877,1.6412917656799877,no trend,0.46117617131981514,0.0
89,Pollen,Pollen (uncalibrated),1.0,10909.0,10908.0,266.0487804878049,M2Lbp57wnhkP,43.4,-88.1,Radtke.Webb.1983,LakeSediment,pollen,degC,T,annual,positive,0.0,0.27424999999999855,0.41549999999999976,0.5614999999999988,0.620000000000001,0.14324999999999832,0.28339999999999854,-0.061500000000000554,-1.2229999999999999,-1.1745,-2.1849999999999996,,no trend,0.141768461510035,0.0,increasing,0.6039431180223926,0.6039431180223926,decreasing,-0.06078599617425467,-0.06078599617425467
91,Pollen,Pollen (uncalibrated),67.0,11334.0,11267.0,134.13095238095238,PYTW12WS22J,60.03,-129.02,Hail.Cwynar.1995,LakeSediment,pollen,degC,T,winterOnly,positive,0.0,-1.3465999999999996,-1.8610999999999995,-0.8748499999999995,-2.5665999999999993,-4.16685,-6.69985,-6.966433333333333,-4.6334,-4.195171428571427,-6.29995294117647,-3.3405285714285706,increasing,0.3981829345165313,0.3981829345165313,no trend,-0.46911088085299,0.0,increasing,0.6869437008247755,0.6869437008247755
92,Pollen,Pollen (uncalibrated),67.0,9918.0,9851.0,185.8679245283019,PYT1URDUH1H,60.03,-129.02,Hail.Cwynar.1995,LakeSediment,pollen,degC,T,summerOnly,positive,0.0,-0.5665999999999998,-0.42950000000000044,-0.4389999999999996,-1.5713333333333337,-2.41025,-4.284875,-4.487833333333334,-3.5136000000000003,-3.6075714285714287,,,increasing,0.515690907444956,0.515690907444956,no trend,-0.21828802248745915,0.0,increasing,0.4008518007178185,0.4008518007178185
93,Other,Other (uncalibrated),154.21,4772.19,4617.98,128.2772222222222,LPD5f9ad71d_SST_from_Mg0x2FCa,12.486,74.133,SN-6.Tiwari.2015,MarineSediment,Mg/Ca,degC,T,annual,positive,0.0,0.9231038461538397,0.11988717948716854,0.19855384615383898,-0.18129615384616216,,,,,,,,,,,,,,no trend,0.03805982087984117,0.0
94,Glacier Ice,Glacier Ice,0.144,47.131,46.987,0.028791053921568627,GH34755740,72.6,-38.5,Alley.GISP2.2000,GlacierIce,hybrid-ice,degC,T,annual,positive,0.0,,,,,,,,,,,,,,,,,,,,
95,Other,Other (uncalibrated),507.0,11758.0,11251.0,163.05797101449275,WEBf35d2722,49.8133,-117.8772,Windy.Chase.2008,LakeSediment,chironomid,degC,T,summerOnly,positive,0.0,-0.6137499999999978,0.1433333333333362,-0.1039999999999992,-0.6319999999999997,0.4210000000000029,1.780000000000003,2.4975000000000005,2.4633333333333347,3.716000000000003,3.5060000000000002,0.3525000000000009,decreasing,-0.3456780709672432,-0.3456780709672432,no trend,-0.04226573093164609,0.0,decreasing,-0.11279339684295295,-0.11279339684295295
96,Other,Other (uncalibrated),590.0,11660.0,11070.0,615.0,RypmpVeFWPB,-36.9225,177.4392,H214.Samson.2005,MarineSediment,foraminifera,degC,T,winter + summer,positive,0.0,-0.06000000000000011,-0.1699999999999995,0.33999999999999797,-0.0750000000000007,-0.19000000000000092,1.7899999999999991,0.3174999999999995,0.38499999999999995,1.4233333333333325,1.6683333333333326,-0.8450000000000006,no trend,-0.08172336175627076,0.0,no trend,0.16475540750914336,0.0,no trend,0.015401567287716073,0.0
97,Pollen,Pollen (uncalibrated),259.371,8081.666,7822.295,300.8575,PYT8O5BE482,63.67,-65.15,Jake.Kerwin.2005,LakeSediment,pollen,degC,T,7,positive,0.0,0.8038333333333325,-0.41666666666666696,-0.1961666666666675,-0.5726666666666675,0.5781666666666654,-0.6796666666666678,-0.5216666666666674,-1.7746666666666675,,,,no trend,0.08227456067508815,0.0,,,,no trend,-0.0826549462168201,0.0
100,Pollen,Pollen (uncalibrated),443.0,10528.0,10085.0,173.8793103448276,M2Lxytve3doP,55.58,-119.43,Boone.White.1986,LakeSediment,pollen,degC,T,annual,positive,0.0,0.3719999999999999,0.3594999999999997,0.4995000000000003,1.571333333333334,1.2019999999999995,0.9947499999999998,0.5715714285714286,-0.4721818181818185,-0.33540000000000014,-0.5486000000000002,,increasing,0.15329677569208802,0.15329677569208802,increasing,0.40389317890809456,0.40389317890809456,decreasing,-0.2913205136315129,-0.2913205136315129
