TSid,createdBy,dataSetName,siteName,countryOcean,lat,lon,elevation,pub1_year,pub1_authors,pub1_title,pub1_journal,pub1_pages,pub1_issue,pub1_volume,pub1_doi,pub2_doi,originalDataUrl,neotomaDatasetId,archiveType,proxyGeneral,proxy,proxyDetail,calibration_method,calibration_seasonality,paleoDataNotes,variableName,units,datum,climateVariable,climateVariableDetail,seasonality,seasonGeneral,meanHoloceneValue,direction,minYear,maxYear,medianHoloceneResolution,agesPerKyr,otherAgesPerKyr,inThisCompilation,QC Certification,QC comments,link to lipdverse,changelogNotes
S2LRKmG1npI12F,sisal2lipd,Auroracave.Lorrey.2008,Aurora cave,Australia/New Zealand>New Zealand,-45.2953,167.6979,260,2008,,,,,,,10.1016/j.quaint.2007.09.039,,https://doi.org/10.17864/1947.256,,Speleothem,isotope,d13C,calcite,,,"""master Speleothem d13C records, variations tracked changes in relative regional precipitation...This comparison suggests the WSI master Speleothem d13C record contains a strong regional palaeo- precipitation signal... less-negative d13C values in the WSI master Speleothem record coincide with dry periods"" (Lorrey et al., 2008)",d13C,permil,,P-E,@surface,"1,2,3,4,5,6,7,8,9,10,11,12",Annual,-8.596398719,negative,1700.8249,7089.6983,35.3191,0,0,TRUE,CH,"""The WSI master Speleothem record is a composite chronology composed of data from four Speleothems sourced from Aurora, Calcite, Doubtful Xanadu, and Waiau "" (Lorrey et al., 2008). However, no data identified for this composite Sites distant enough to keep seperate",http://lipdverse.org/HoloceneHydroclimate/0_4_0/Auroracave.Lorrey.2008.html,
Aus_247,matlab,Aus-WilkinsKeilambeteGnotuk,Lake Keilambete,Australia/New Zealand>Australia,-38.2135,142.989,104,,,,,,,,10.1177/0959683612472017,,https://www.ncei.noaa.gov/access/paleo-search/study/22430,,LakeSediment,isotope,d18O,,,,,depth.lake,m,anom,P-E,LakeLevel@surface,"1,2,3,4,5,6,7,8,9,10,11,12",Annual,1.826,positive,-53.65,9357.05,98.8,,,TRUE,,,http://lipdverse.org/HoloceneHydroclimate/0_4_0/Aus-WilkinsKeilambeteGnotuk.html,
Aus_248,matlab,Aus-WilkinsKeilambeteGnotuk,Lake Keilambete,Australia/New Zealand>Australia,-38.2135,142.989,104,,,,,,,,10.1177/0959683612472017,,https://www.ncei.noaa.gov/access/paleo-search/study/22430,,LakeSediment,biophysical,particle size,Subset of Sediment,,,P/E LakeCatchment,sedimentWeight,percent,,P-E,@surface,"1,2,3,4,5,6,7,8,9,10,11,12",Annual,0.057191489,negative,-53.65,9357.05,98.8,,,TRUE,,,http://lipdverse.org/HoloceneHydroclimate/0_4_0/Aus-WilkinsKeilambeteGnotuk.html,
Aus_257,matlab,Aus-WilkinsKeilambeteGnotuk,Lake Keilambete,Australia/New Zealand>Australia,-38.2135,142.989,104,,,,,,,,10.1177/0959683612472017,,https://www.ncei.noaa.gov/access/paleo-search/study/22430,,LakeSediment,biophysical,particle size,Subset of Sediment,,,P/E LakeCatchment,sedimentWeight,percent,,P-E,@surface,"1,2,3,4,5,6,7,8,9,10,11,12",Annual,64.3825,negative,551.697,11522.894,101.717,,,TRUE,,,http://lipdverse.org/HoloceneHydroclimate/0_4_0/Aus-WilkinsKeilambeteGnotuk.html,
Aus_260,matlab,Aus-WilkinsKeilambeteGnotuk,Lake Keilambete,Australia/New Zealand>Australia,-38.2135,142.989,104,,,,,,,,10.1177/0959683612472017,,https://www.ncei.noaa.gov/access/paleo-search/study/22430,,LakeSediment,isotope,d18O,,,,,depth.lake,m,anom,P-E,LakeLevel@surface,"1,2,3,4,5,6,7,8,9,10,11,12",Annual,1.509487179,positive,551.697,11522.894,101.717,,,TRUE,,,http://lipdverse.org/HoloceneHydroclimate/0_4_0/Aus-WilkinsKeilambeteGnotuk.html,
S2LRwdQvzjr8rq,sisal2lipd,Babyloncave.Williams.2005,Babylon cave,Australia/New Zealand>New Zealand,-41.95,171.47,175,2005,,,,,,,10.1016/j.epsl.2004.10.024,unpublished,https://doi.org/10.17864/1947.256,,Speleothem,isotope,d13C,calcite,,,"""Increased plant growth associated with climatic amelioration during the late- glacial early Holocene transition saw a marked decrease in d13Cc values [50], and wet conditions are also associated with reduced values...13C is interpreted as responding negatively to increases in atmospheric CO2 concentration, biological activity and precipitation amount."" (Williams et al., 2005)",d13C,permil,,P-E,@surface,"1,2,3,4,5,6,7,8,9,10,11,12",Annual,-7.546453439,negative,1045.1278,10281.7618,223.5123,0,0,TRUE,CH,"Included in multi-site composite from WNA: ""SouthIsland.Williams.2005""",http://lipdverse.org/HoloceneHydroclimate/0_4_0/Babyloncave.Williams.2005.html,
S2LRShfLt8O8RR,sisal2lipd,Baeg-nyongcave.K..2017,Baeg-nyong cave,Asia>Eastern Asia>South Korea,37.27,128.58,250,2017,,,,,,,10.1038/s41598-017-15566-4,,https://doi.org/10.17864/1947.256,,Speleothem,isotope,d18O,calcite,,,"""The Holocene variability in the East Asian summer monsoon (EASM) based on Speleothem δ18O...the δ18O value of precipitation on the KP is affected by the amount of rainfall in summer and the temperature in winter...the amount of rain during the summer is the major factor controlling the δ18O value"" (Kyoung-nam et al., 2017)",d18O,permil,,P,amount@surface,"6,7,8",summerOnly,-7.032607261,negative,0,5437,15,0,0,TRUE,CH,SISAL Note: Entity BN-1 (entity_id = 468): Depths for U/Th dates are not available.,http://lipdverse.org/HoloceneHydroclimate/0_4_0/Baeg-nyongcave.K..2017.html,
WEB2b09ab9c,lipd.net,Baikal.Swann.2018,"Vydrino Shoulder, Lake Baikal",Europe>Eastern Europe>Russian Federation,51.58,104.85,1500,2018,"Swann, George E.A.",Lake Baikal isotope records of Holocene Central Asian precipitation,Quaternary Science Reviews,210-222,,189,10.1016/j.quascirev.2018.04.013,10.1002/jqs.1484,https://doi.org/10.1594/PANGAEA.889761,,LakeSediment,isotope,d18O,diatom,,,"""Using the relationship betweend18Odiatomand precipitation from c.2010-1900 (Fig. 6c) we quantify decadal changes in annual pre-cipitation for Central Asia from our composite south basind18Odia-tomrecord, which extends back to c.1850 AD""",precipitation,mm/a,abs,P,precipitation@surface,"1,2,3,4,5,6,7,8,9,10,11,12",Annual,565.5151515,positive,40,9990,270,,,TRUE,,,http://lipdverse.org/HoloceneHydroclimate/0_4_0/Baikal.Swann.2018.html,
S2LRqArbF2JHFw,sisal2lipd,Balukcave.Liu.2019,Baluk cave,Asia>Eastern Asia>China,42.433,84.733,2752,2019,,,,,,,10.1029/2018JD029699,,https://doi.org/10.17864/1947.256,,Speleothem,isotope,d18O,calcite,,,""" there is a consensus that Speleothem δ18O records from ACA con- tain a regional signal of hydroclimatic variability."" (Liu et al., 2019)",d18O,permil,,P,@surface,"1,2,3,4,5,6,7,8,9,10,11,12",Annual,-7.02332615,negative,2689.346719,8361.750054,22.93556579,0,0,TRUE,CH,,http://lipdverse.org/HoloceneHydroclimate/0_4_0/Balukcave.Liu.2019.html,
OLS_RXfu7xAGzWB,http://github.com/nickmckay/oxfordLakeStatus2Lipd,Bancannia.Dury.1973,Bancannia,Australia/New Zealand>Australia,-30.82,141.93,107,1973,"Dury, G.H.","Paleohydrologic implications of some pluvial lakes in northwestern New South Wales, Australia.Bulletin of the Geological Society of America 84 : 3663-3676.",,,,,"Street-Perrott, F.A., D.S. Marchand, N. Roberts, and S.P Harisson, 1989. Global Lake-Level Variations from 18,000 to 0 Years Ago: A Paleoclimatic Analysis. U.S. Department of Energy Technical Report 46, Washington, D.C. 20545. Distributed by National Technical Information Service, Springfield, VA 22161.",,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/lakelevels/oxford/,,LakeDeposits,lakeLevel,lakeLevel,LakeDeposits,,,"1 = LOW (0-15% of the total altitudinal range of fluctuation, including dry lakes); 2 INTERMEDIATE (15-70%); 3 = HIGH (70-100%, including overflowing lakes)",lakeStatus,unitless index,anom,P-E,LakeLevel@surface,"1,2,3,4,5,6,7,8,9,10,11,12",Annual,2.6,negative,494.5,18793.5,1149,,,TRUE,CH,>=10 Holocene dates and >= 2 data change points),http://lipdverse.org/HoloceneHydroclimate/0_4_0/Bancannia.Dury.1973.html,
WEB8d973712,lipd.net,BangongCo.Hou.2017,Bangong Co,Asia>Eastern Asia>China,33.7,79.17,4244,2017,"Hou, Juzhi",Influence of the Indian monsoon and the subtropical jet on climate change on the Tibetan Plateau since the late Pleistocene,Quaternary Science Reviews,84-94,,163,10.1016/j.quascirev.2017.03.013,10.1111/1755-6724.14538,https://www.ncei.noaa.gov/access/paleo-search/study/32033,,LakeSediment,isotope,dDwax,d2HC30,,,"""The long-term δDwaxvalues over the past 16,000 years are interpreted to reflect past changes in effective precipitation as well as summer monsoon intensity, which have been discussed previously (Hou et al., 2017)."" Wang et al. 2017",d2HC30,permil,,P,@surface,"6,7,8",summerOnly,-198.75,negative,-65,15642,118,0,0,TRUE,,,http://lipdverse.org/HoloceneHydroclimate/0_4_0/BangongCo.Hou.2017.html,
LPDb7ac9881,matlab,BayanNuur.Chen.2008,BayanNuur,Asia>Eastern Asia>Mongolia,50,94.02,932,2008,"Chen, Fahu; Yu, Zicheng; Yang, Meilin; Ito, Emi; Wang, Sumin; Madsen, David B.; Huang, Xiaozhong; Zhao, Yan; Sato, Tomonori; John B. Birks, H.; Boomer, Ian; Chen, Jianhui; An, Chengbang; W _nnemann, Bernd",Holocene moisture evolution in arid central Asia and its out-of-phase relationship with Asian monsoon history,Quaternary Science Reviews,351 364,3,27,10.1016/j.quascirev.2007.10.017,,https://doi.org/10.25921/bnxb-1n90,,LakeSediment,hybrid,hybrid,,,,"Composited into a relative moisture index by Wang et al., 2008",Moisture_index,unitless,anom,P-E,@surface,"1,2,3,4,5,6,7,8,9,10,11,12",Annual,2.018099548,positive,0,11000,50,0,0,TRUE,,too coarse,http://lipdverse.org/HoloceneHydroclimate/0_4_0/BayanNuur.Chen.2008.html,
OLS_RcRjSZzb1Kg,http://github.com/nickmckay/oxfordLakeStatus2Lipd,Beatties.Macphail.1975,Beatties,Australia/New Zealand>Australia,-42.67,146.63,990,1975,"Macphail, M.K.,",Late Pleistocene environments in Tasmania. Search 6 : 295-300.,,,,,"Street-Perrott, F.A., D.S. Marchand, N. Roberts, and S.P Harisson, 1989. Global Lake-Level Variations from 18,000 to 0 Years Ago: A Paleoclimatic Analysis. U.S. Department of Energy Technical Report 46, Washington, D.C. 20545. Distributed by National Technical Information Service, Springfield, VA 22161.",,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/lakelevels/oxford/,,LakeDeposits,lakeLevel,lakeLevel,LakeDeposits,,,"1 = LOW (0-15% of the total altitudinal range of fluctuation, including dry lakes); 2 INTERMEDIATE (15-70%); 3 = HIGH (70-100%, including overflowing lakes)",lakeStatus,unitless index,anom,P-E,LakeLevel@surface,"1,2,3,4,5,6,7,8,9,10,11,12",Annual,1.3,negative,494.5,13383.5,1149,,,TRUE,CH,>=10 Holocene dates and >= 2 data change points),http://lipdverse.org/HoloceneHydroclimate/0_4_0/Beatties.Macphail.1975.html,
OLS_R4idEFGElHM,http://github.com/nickmckay/oxfordLakeStatus2Lipd,Bebedero.Gonzalez.1983,Bebedero,South America>Argentina,-33.33,-66.75,380,1983,"Gonzalez, M.A.,",". Pleistocene and Holocene lake levels in the actual Salina del Bebedero, Argentina. 14C dates.Relations with the latest Pleistocene glaciation. Abstract, Hamburg Symposium on ""DesertEncroachment, Fast T",,,,,"Street-Perrott, F.A., D.S. Marchand, N. Roberts, and S.P Harisson, 1989. Global Lake-Level Variations from 18,000 to 0 Years Ago: A Paleoclimatic Analysis. U.S. Department of Energy Technical Report 46, Washington, D.C. 20545. Distributed by National Technical Information Service, Springfield, VA 22161.",,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/lakelevels/oxford/,,LakeDeposits,lakeLevel,lakeLevel,LakeDeposits,,,"1 = LOW (0-15% of the total altitudinal range of fluctuation, including dry lakes); 2 INTERMEDIATE (15-70%); 3 = HIGH (70-100%, including overflowing lakes)",lakeStatus,unitless index,anom,P-E,LakeLevel@surface,"1,2,3,4,5,6,7,8,9,10,11,12",Annual,2.3,negative,494.5,23468.5,1149,,,TRUE,CH,>=10 Holocene dates and >= 2 data change points),http://lipdverse.org/HoloceneHydroclimate/0_4_0/Bebedero.Gonzalez.1983.html,
NAm2kHydro030,matlab,Big.Cumming.2002,Big Lake,North America>Canada>British Columbia,51.668,-121.45,1030,2002,"Cumming, B. F.",Persistent millennial-scale shifts in moisture regimes in western Canada during the past six millennia,Proceedings of the National Academy of Sciences,16117-16121,25,99,10.1073/pnas.252603099,,https://www.ncei.noaa.gov/access/paleo-search/study/23089,,LakeSediment,other microfossil,diatom,assemblage,,,,lakeLevel,m,abs,P-E,LakeLevel@surface,"1,2,3,4,5,6,7,8,9,10,11,12",Annual,7.331186747,positive,-41.58,5533,13.392,3.587714231,0,TRUE,JB,,http://lipdverse.org/HoloceneHydroclimate/0_4_0/Big.Cumming.2002.html,
OLS_RPARZQXyu1l,http://github.com/nickmckay/oxfordLakeStatus2Lipd,Bilma.Faure.1966,Bilma,Africa>Western Africa>Niger,18.75,13,310,1974,"Delibrias, G., M.T. Guillier and J. Labeyrie,",Gif natural radiocarbon measurements VIII.Radiocarbon 16 : 15-94.,,,,,"Street-Perrott, F.A., D.S. Marchand, N. Roberts, and S.P Harisson, 1989. Global Lake-Level Variations from 18,000 to 0 Years Ago: A Paleoclimatic Analysis. U.S. Department of Energy Technical Report 46, Washington, D.C. 20545. Distributed by National Technical Information Service, Springfield, VA 22161.",,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/lakelevels/oxford/,,LakeDeposits,lakeLevel,lakeLevel,LakeDeposits,,,"1 = LOW (0-15% of the total altitudinal range of fluctuation, including dry lakes); 2 INTERMEDIATE (15-70%); 3 = HIGH (70-100%, including overflowing lakes)",lakeStatus,unitless index,anom,P-E,LakeLevel@surface,"1,2,3,4,5,6,7,8,9,10,11,12",Annual,2.2,negative,494.5,35853.5,1149,,,TRUE,CH,>=10 Holocene dates and >= 2 data change points),http://lipdverse.org/HoloceneHydroclimate/0_4_0/Bilma.Faure.1966.html,
NAm2kHydro001,matlab,BisonLake.Anderson.2011,Bison Lake,North America>United States Of America>Colorado,39.76,-107.35,3255,2011,"Anderson, Lesleigh","Holocene record of precipitation seasonality from lake calcite δ18O in the central Rocky Mountains, United States",Geology,211-214,3,39,10.1130/G31575.1,,https://www.ncei.noaa.gov/access/paleo-search/study/10749,,LakeSediment,isotope,d18O,bulk sediment,,,Amount effect. Winter precipitaiton amount or balance of winter versus summer,d18O,permil,abs,P,amount@surface,"12,1,2",winterOnly,-15.87034859,negative,-58,10289.95,27.019,,,TRUE,CR,"Missing age model. Winter drought, but also winter/summer precipitation balance.",http://lipdverse.org/HoloceneHydroclimate/0_4_0/BisonLake.Anderson.2011.html,
WEB8c80a27c,lipd.net,BJ80370GGC.Tierney.2012,Sulawesi,Pacific Ocean>Western Pacific Ocean>South China And Eastern Archipelagic Seas,-3.566,119.383,-482,2012,"Tierney, J. E.",The influence of Indian Ocean atmospheric circulation on Warm Pool hydroclimate during the Holocene epoch,Journal of Geophysical Research: Atmospheres,n/a-n/a,D19,117,10.1029/2012JD018060,,https://www.ncei.noaa.gov/access/paleo-search/study/13378,,MarineSediment,isotope,dDwax,C30 fatty acid,ice volume corrected,,"""mean annual changes in precipitation amount and precipitation isotopes over Sulawesi during the Holocene (excluding 9K due to the simulated impact of ice volume) are strongly correlated (r = 0.94). Thus, the 15–8 ka trend in the Sulawesi dDwax data in particular likely reflects a shift from a drier deglacial period to wetter conditions during the Holocene"" (Tierney et al., 2012)",dDwax_corr,permil,,P,amount@surface,"1,2,3,4,5,6,7,8,9,10,11,12",Annual,-169.6431034,negative,60,14759,104,,,TRUE,CH,,http://lipdverse.org/HoloceneHydroclimate/0_4_0/BJ80370GGC.Tierney.2012.html,
OLS_RtPtAFW735C,http://github.com/nickmckay/oxfordLakeStatus2Lipd,Bogoria.Young.1979,Bogoria,Africa>Eastern Africa>Kenya,0.3,36.1,990,1981,"Tiercelin, J.J., R.W. Renaut, G. Delibrias, J.LeFournier and S. Bieda","Late Pleistocene and Holocene lake levelfluctuations in the Lake Bogoria basin, northernKenya rift valley. Palaeoecology of Africa 13 :",,,,,"Street-Perrott, F.A., D.S. Marchand, N. Roberts, and S.P Harisson, 1989. Global Lake-Level Variations from 18,000 to 0 Years Ago: A Paleoclimatic Analysis. U.S. Department of Energy Technical Report 46, Washington, D.C. 20545. Distributed by National Technical Information Service, Springfield, VA 22161.",,ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleolimnology/lakelevels/oxford/,,LakeDeposits,lakeLevel,lakeLevel,LakeDeposits,,,"1 = LOW (0-15% of the total altitudinal range of fluctuation, including dry lakes); 2 INTERMEDIATE (15-70%); 3 = HIGH (70-100%, including overflowing lakes)",lakeStatus,unitless index,anom,P-E,LakeLevel@surface,"1,2,3,4,5,6,7,8,9,10,11,12",Annual,1.6,negative,494.5,18793.5,1149,,,TRUE,CH,>=10 Holocene dates and >= 2 data change points),http://lipdverse.org/HoloceneHydroclimate/0_4_0/Bogoria.Young.1979.html,
